"Shopping Cart","Basket"
"Update Shopping Cart","Update Basket"
"Update Cart","Update Basket"
"Clear Shopping Cart","Clear Basket"
"Proceed to Checkout","Pay Securely Now"
"You have no items in your shopping cart.","You have no items in your shopping basket."
"Item in Cart","Item(s) in Basket"
"Items in Cart","Items in Basket"
"My Cart (1 item)","My Basket (1 item)"
"My Cart (%1 items)","My Basket (%1 items)"
"My Cart","Basket"
"You added %1 to your shopping cart.","You added %1 to your shopping basket."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping basket right now."
"%1 was updated in your shopping cart.","%1 was updated in your shopping basket."
"We can't update the shopping cart.","We can't update the shopping basket."
"Shopping Cart Items","Shopping Basket Items"
"Estimate Tax","Estimate VAT"
"Estimate Shipping and Tax","Estimate Delivery"
"Excl. Tax","Ex VAT"
"Incl. Tax","Inc VAT"
"Inc. Tax","Inc VAT"
"Excl. Tax","Ex VAT"
"Cart Subtotal","Basket Subtotal"
"Edit Your Cart","Edit Your Basket"
"View and Edit Cart","View and Edit Basket"
"Provided Zip/Postal Code seems to be invalid.","Provided Post Code seems to be invalid."
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping basket?"
Shipping,Delivery
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping basket</a>."
State/Province,Province
"Zip/Postal Code","Post Code"
"Special Price","Now"
"Regular Price","Was"
"Add to Cart","Add to Basket"
"has been added to your cart","has been added to your basket"
"%1 has been added to your cart","%1 has been added to your basket"
"%1 was updated in your shopping cart.","%1 was updated in your shopping basket."
"%1 has been added to your cart.","%1 has been added to your basket."
"in your cart","in your basket"
"View Cart","View Basket"
"Cart Subtotal","Basket Subtotal"
"Tax","VAT"
"has been added to your cart","has been added to your basket"
"%1 has been added to your cart","%1 has been added to your basket"
"View Cart","View Basket"
" in your cart."," in your basket."
"Cart Subtotal:","Basket Subtotal:"
"Thank you for your subscription.","Thank you for subscribing! You are now officially subscribed to our newsletter."
"This email address is already subscribed.","This email address is already subscribed to our newsletter."
"Order Total Incl. Tax","Order Total inc VAT"
"Creating an account has many benefits","Enjoy these great benefits"
"See order and shipping status","Top brands, competitive prices"
"Track order history","1,000s of products available for next day delivery"
"Check out faster","VAT approved itemised invoices"
